date,dataPoint,candidate,percentage
2019-06-01,33,Bloomberg,1.7
2019-06-01,35,Bloomberg,3.1
2019-06-01,37,Bloomberg,0.0
2019-06-01,39,Bloomberg,1.0
2019-06-01,41,Bloomberg,2.7
2019-06-01,43,Bloomberg,0.0
2019-06-01,45,Bloomberg,1.2
2019-06-01,47,Bloomberg,1.5
2019-06-01,49,Bloomberg,2.6
2019-06-01,51,Bloomberg,0.0
2019-06-01,53,Bloomberg,0.8
2019-06-01,55,Bloomberg,0.0
2019-06-01,57,Bloomberg,2.0
2019-06-01,59,Bloomberg,0.2
2019-06-01,61,Bloomberg,0.0
2019-06-01,63,Bloomberg,1.1
2019-06-01,65,Bloomberg,0.8
2019-06-01,67,Bloomberg,3.9
2019-06-01,69,Bloomberg,0.0
2019-06-01,71,Bloomberg,2.1
2019-06-01,73,Bloomberg,4.1
2019-06-01,75,Bloomberg,0.0
2019-06-01,77,Bloomberg,0.0
2019-06-01,79,Bloomberg,0.2
2019-06-01,81,Bloomberg,0.0
2019-06-01,83,Bloomberg,13.8
2019-06-01,85,Bloomberg,0.0
2019-06-01,87,Bloomberg,0.0
2019-06-01,89,Bloomberg,0.8
2019-06-01,91,Bloomberg,2.8
2019-06-01,93,Bloomberg,0.2
2019-06-01,95,Bloomberg,2.1
2019-06-01,97,Bloomberg,2.0
2019-06-01,99,Bloomberg,2.5
2019-06-01,101,Bloomberg,0.0
2019-06-01,103,Bloomberg,0.0
2019-06-01,105,Bloomberg,4.5
2019-06-01,107,Bloomberg,0.0
2019-06-01,109,Bloomberg,0.0
2019-06-01,111,Bloomberg,4.8
2019-06-01,113,Bloomberg,0.8
2019-06-01,-1,Bloomberg,1.4
2019-06-01,1,Booker,2.6
2019-06-01,3,Booker,2.4
2019-06-01,5,Booker,0.9
2019-06-01,7,Booker,3.3
2019-06-01,9,Booker,5.7
2019-06-01,11,Booker,2.7
2019-06-01,13,Booker,4.3
2019-06-01,15,Booker,1.1
2019-06-01,17,Booker,0.5
2019-06-01,19,Booker,2.7
2019-06-01,21,Booker,2.5
2019-06-01,23,Booker,2.7
2019-06-01,25,Booker,0.7
2019-06-01,27,Booker,3.0
2019-06-01,29,Booker,4.8
2019-06-01,31,Booker,3.6
2019-06-01,33,Booker,1.2
2019-06-01,35,Booker,0.7
2019-06-01,37,Booker,2.6
2019-06-01,39,Booker,3.2
2019-06-01,41,Booker,0.7
2019-06-01,43,Booker,1.2
2019-06-01,45,Booker,5.5
2019-06-01,47,Booker,3.4
2019-06-01,49,Booker,1.3
2019-06-01,51,Booker,1.6
2019-06-01,53,Booker,2.7
2019-06-01,55,Booker,1.6
2019-06-01,57,Booker,1.1
2019-06-01,59,Booker,1.1
2019-06-01,61,Booker,0.5
2019-06-01,63,Booker,4.0
2019-06-01,65,Booker,2.7
2019-06-01,67,Booker,1.1
2019-06-01,69,Booker,1.0
2019-06-01,71,Booker,4.5
2019-06-01,73,Booker,0.7
2019-06-01,75,Booker,1.2
2019-06-01,77,Booker,4.0
2019-06-01,79,Booker,4.9
2019-06-01,81,Booker,6.3
2019-06-01,83,Booker,2.9
2019-06-01,85,Booker,2.8
2019-06-01,87,Booker,7.4
2019-06-01,89,Booker,2.7
2019-06-01,91,Booker,0.9
2019-06-01,93,Booker,0.6
2019-06-01,95,Booker,2.6
2019-06-01,97,Booker,4.1
2019-06-01,99,Booker,4.1
2019-06-01,101,Booker,1.5
2019-06-01,103,Booker,9.0
2019-06-01,105,Booker,0.5
2019-06-01,107,Booker,16.2
2019-06-01,109,Booker,1.7
2019-06-01,111,Booker,1.6
2019-06-01,113,Booker,2.7
2019-06-01,-1,Booker,2.9
2019-06-01,1,Buttigieg,13.5
2019-06-01,3,Buttigieg,11.3
2019-06-01,5,Buttigieg,9.1
2019-06-01,7,Buttigieg,4.8
2019-06-01,9,Buttigieg,5.8
2019-06-01,11,Buttigieg,6.8
2019-06-01,13,Buttigieg,7.3
2019-06-01,15,Buttigieg,10.8
2019-06-01,17,Buttigieg,7.1
2019-06-01,19,Buttigieg,6.8
2019-06-01,21,Buttigieg,10.0
2019-06-01,23,Buttigieg,13.8
2019-06-01,25,Buttigieg,13.0
2019-06-01,27,Buttigieg,5.4
2019-06-01,29,Buttigieg,4.5
2019-06-01,31,Buttigieg,7.1
2019-06-01,33,Buttigieg,12.1
2019-06-01,35,Buttigieg,8.6
2019-06-01,37,Buttigieg,12.8
2019-06-01,39,Buttigieg,8.5
2019-06-01,41,Buttigieg,8.5
2019-06-01,43,Buttigieg,7.6
2019-06-01,45,Buttigieg,5.4
2019-06-01,47,Buttigieg,6.2
2019-06-01,49,Buttigieg,9.3
2019-06-01,51,Buttigieg,7.1
2019-06-01,53,Buttigieg,6.8
2019-06-01,55,Buttigieg,8.2
2019-06-01,57,Buttigieg,5.5
2019-06-01,59,Buttigieg,5.8
2019-06-01,61,Buttigieg,10.9
2019-06-01,63,Buttigieg,5.2
2019-06-01,65,Buttigieg,6.8
2019-06-01,67,Buttigieg,8.8
2019-06-01,69,Buttigieg,8.1
2019-06-01,71,Buttigieg,5.9
2019-06-01,73,Buttigieg,9.3
2019-06-01,75,Buttigieg,6.9
2019-06-01,77,Buttigieg,11.1
2019-06-01,79,Buttigieg,12.8
2019-06-01,81,Buttigieg,10.9
2019-06-01,83,Buttigieg,13.0
2019-06-01,85,Buttigieg,8.4
2019-06-01,87,Buttigieg,8.1
2019-06-01,89,Buttigieg,6.8
2019-06-01,91,Buttigieg,8.9
2019-06-01,93,Buttigieg,22.6
2019-06-01,95,Buttigieg,7.5
2019-06-01,97,Buttigieg,6.3
2019-06-01,99,Buttigieg,7.7
2019-06-01,101,Buttigieg,8.0
2019-06-01,103,Buttigieg,8.3
2019-06-01,105,Buttigieg,10.4
2019-06-01,107,Buttigieg,10.1
2019-06-01,109,Buttigieg,6.9
2019-06-01,111,Buttigieg,9.3
2019-06-01,113,Buttigieg,6.8
2019-06-01,-1,Buttigieg,8.7
2019-06-01,1,Klobuchar,3.8
2019-06-01,3,Klobuchar,1.9
2019-06-01,5,Klobuchar,1.1
2019-06-01,7,Klobuchar,0.7
2019-06-01,9,Klobuchar,2.3
2019-06-01,11,Klobuchar,1.6
2019-06-01,13,Klobuchar,3.1
2019-06-01,15,Klobuchar,0.6
2019-06-01,17,Klobuchar,0.3
2019-06-01,19,Klobuchar,1.6
2019-06-01,21,Klobuchar,0.6
2019-06-01,23,Klobuchar,1.6
2019-06-01,25,Klobuchar,18.3
2019-06-01,27,Klobuchar,3.2
2019-06-01,29,Klobuchar,2.6
2019-06-01,31,Klobuchar,3.4
2019-06-01,33,Klobuchar,2.1
2019-06-01,35,Klobuchar,2.7
2019-06-01,37,Klobuchar,0.8
2019-06-01,39,Klobuchar,2.3
2019-06-01,41,Klobuchar,4.6
2019-06-01,43,Klobuchar,2.8
2019-06-01,45,Klobuchar,2.2
2019-06-01,47,Klobuchar,3.2
2019-06-01,49,Klobuchar,3.7
2019-06-01,51,Klobuchar,0.6
2019-06-01,53,Klobuchar,1.6
2019-06-01,55,Klobuchar,2.9
2019-06-01,57,Klobuchar,0.3
2019-06-01,59,Klobuchar,0.9
2019-06-01,61,Klobuchar,4.5
2019-06-01,63,Klobuchar,2.8
2019-06-01,65,Klobuchar,1.6
2019-06-01,67,Klobuchar,1.2
2019-06-01,69,Klobuchar,0.4
2019-06-01,71,Klobuchar,2.8
2019-06-01,73,Klobuchar,3.0
2019-06-01,75,Klobuchar,3.1
2019-06-01,77,Klobuchar,0.3
2019-06-01,79,Klobuchar,0.1
2019-06-01,81,Klobuchar,0.3
2019-06-01,83,Klobuchar,0.3
2019-06-01,85,Klobuchar,1.6
2019-06-01,87,Klobuchar,0.4
2019-06-01,89,Klobuchar,1.6
2019-06-01,91,Klobuchar,2.9
2019-06-01,93,Klobuchar,4.5
2019-06-01,95,Klobuchar,0.1
2019-06-01,97,Klobuchar,3.9
2019-06-01,99,Klobuchar,3.5
2019-06-01,101,Klobuchar,0.6
2019-06-01,103,Klobuchar,0.5
2019-06-01,105,Klobuchar,2.5
2019-06-01,107,Klobuchar,0.1
2019-06-01,109,Klobuchar,0.2
2019-06-01,111,Klobuchar,2.8
2019-06-01,113,Klobuchar,1.6
2019-06-01,-1,Klobuchar,2.2
2019-06-01,1,Sanders,22.5
2019-06-01,3,Sanders,17.4
2019-06-01,5,Sanders,22.7
2019-06-01,7,Sanders,13.3
2019-06-01,9,Sanders,13.6
2019-06-01,11,Sanders,20.3
2019-06-01,13,Sanders,15.9
2019-06-01,15,Sanders,22.7
2019-06-01,17,Sanders,24.9
2019-06-01,19,Sanders,20.3
2019-06-01,21,Sanders,23.3
2019-06-01,23,Sanders,23.1
2019-06-01,25,Sanders,24.3
2019-06-01,27,Sanders,16.6
2019-06-01,29,Sanders,16.6
2019-06-01,31,Sanders,15.4
2019-06-01,33,Sanders,17.4
2019-06-01,35,Sanders,18.1
2019-06-01,37,Sanders,49.8
2019-06-01,39,Sanders,15.8
2019-06-01,41,Sanders,15.1
2019-06-01,43,Sanders,20.6
2019-06-01,45,Sanders,16.2
2019-06-01,47,Sanders,16.8
2019-06-01,49,Sanders,15.9
2019-06-01,51,Sanders,27.1
2019-06-01,53,Sanders,20.3
2019-06-01,55,Sanders,21.8
2019-06-01,57,Sanders,20.3
2019-06-01,59,Sanders,15.5
2019-06-01,61,Sanders,25.1
2019-06-01,63,Sanders,17.2
2019-06-01,65,Sanders,20.3
2019-06-01,67,Sanders,15.2
2019-06-01,69,Sanders,26.2
2019-06-01,71,Sanders,15.9
2019-06-01,73,Sanders,18.3
2019-06-01,75,Sanders,26.1
2019-06-01,77,Sanders,22.4
2019-06-01,79,Sanders,22.9
2019-06-01,81,Sanders,22.2
2019-06-01,83,Sanders,26.8
2019-06-01,85,Sanders,16.3
2019-06-01,87,Sanders,24.0
2019-06-01,89,Sanders,20.3
2019-06-01,91,Sanders,16.7
2019-06-01,93,Sanders,21.2
2019-06-01,95,Sanders,15.4
2019-06-01,97,Sanders,15.0
2019-06-01,99,Sanders,15.7
2019-06-01,101,Sanders,25.4
2019-06-01,103,Sanders,18.7
2019-06-01,105,Sanders,19.0
2019-06-01,107,Sanders,27.0
2019-06-01,109,Sanders,25.2
2019-06-01,111,Sanders,16.8
2019-06-01,113,Sanders,20.3
2019-06-01,-1,Sanders,20.3
2019-06-01,1,Steyer,0.0
2019-06-01,3,Steyer,0.0
2019-06-01,5,Steyer,0.0
2019-06-01,7,Steyer,0.0
2019-06-01,9,Steyer,0.0
2019-06-01,11,Steyer,0.0
2019-06-01,13,Steyer,0.0
2019-06-01,15,Steyer,0.0
2019-06-01,17,Steyer,0.0
2019-06-01,19,Steyer,0.0
2019-06-01,21,Steyer,0.0
2019-06-01,23,Steyer,0.0
2019-06-01,25,Steyer,0.0
2019-06-01,27,Steyer,0.0
2019-06-01,29,Steyer,1.2
2019-06-01,31,Steyer,0.0
2019-06-01,33,Steyer,0.0
2019-06-01,35,Steyer,0.0
2019-06-01,37,Steyer,0.0
2019-06-01,39,Steyer,0.0
2019-06-01,41,Steyer,0.0
2019-06-01,43,Steyer,0.0
2019-06-01,45,Steyer,0.0
2019-06-01,47,Steyer,0.0
2019-06-01,49,Steyer,0.0
2019-06-01,51,Steyer,0.0
2019-06-01,53,Steyer,0.0
2019-06-01,55,Steyer,0.0
2019-06-01,57,Steyer,0.0
2019-06-01,59,Steyer,0.0
2019-06-01,61,Steyer,0.0
2019-06-01,63,Steyer,0.0
2019-06-01,65,Steyer,0.0
2019-06-01,67,Steyer,0.0
2019-06-01,69,Steyer,0.0
2019-06-01,71,Steyer,0.0
2019-06-01,73,Steyer,0.0
2019-06-01,75,Steyer,0.0
2019-06-01,77,Steyer,0.0
2019-06-01,79,Steyer,0.0
2019-06-01,81,Steyer,0.0
2019-06-01,83,Steyer,0.0
2019-06-01,85,Steyer,0.0
2019-06-01,87,Steyer,0.0
2019-06-01,89,Steyer,0.0
2019-06-01,91,Steyer,0.0
2019-06-01,93,Steyer,0.0
2019-06-01,95,Steyer,0.0
2019-06-01,97,Steyer,0.0
2019-06-01,99,Steyer,0.0
2019-06-01,101,Steyer,0.0
2019-06-01,103,Steyer,0.0
2019-06-01,105,Steyer,0.0
2019-06-01,107,Steyer,0.0
2019-06-01,109,Steyer,0.0
2019-06-01,111,Steyer,0.0
2019-06-01,113,Steyer,0.0
2019-06-01,-1,Steyer,0.0
2019-06-01,1,Warren,10.0
2019-06-01,3,Warren,10.1
2019-06-01,5,Warren,11.1
2019-06-01,7,Warren,10.0
2019-06-01,9,Warren,6.7
2019-06-01,11,Warren,9.0
2019-06-01,13,Warren,4.5
2019-06-01,15,Warren,11.0
2019-06-01,17,Warren,10.0
2019-06-01,19,Warren,9.0
2019-06-01,21,Warren,9.5
2019-06-01,23,Warren,17.9
2019-06-01,25,Warren,11.3
2019-06-01,27,Warren,7.0
2019-06-01,29,Warren,4.4
2019-06-01,31,Warren,5.8
2019-06-01,33,Warren,8.0
2019-06-01,35,Warren,11.6
2019-06-01,37,Warren,14.7
2019-06-01,39,Warren,8.4
2019-06-01,41,Warren,11.0
2019-06-01,43,Warren,10.5
2019-06-01,45,Warren,5.2
2019-06-01,47,Warren,6.8
2019-06-01,49,Warren,10.7
2019-06-01,51,Warren,10.3
2019-06-01,53,Warren,9.0
2019-06-01,55,Warren,12.1
2019-06-01,57,Warren,10.4
2019-06-01,59,Warren,8.5
2019-06-01,61,Warren,9.9
2019-06-01,63,Warren,7.3
2019-06-01,65,Warren,9.0
2019-06-01,67,Warren,11.6
2019-06-01,69,Warren,11.8
2019-06-01,71,Warren,5.2
2019-06-01,73,Warren,12.8
2019-06-01,75,Warren,13.6
2019-06-01,77,Warren,12.5
2019-06-01,79,Warren,10.9
2019-06-01,81,Warren,12.2
2019-06-01,83,Warren,15.4
2019-06-01,85,Warren,9.6
2019-06-01,87,Warren,9.9
2019-06-01,89,Warren,9.0
2019-06-01,91,Warren,11.9
2019-06-01,93,Warren,7.9
2019-06-01,95,Warren,13.7
2019-06-01,97,Warren,6.3
2019-06-01,99,Warren,4.9
2019-06-01,101,Warren,9.9
2019-06-01,103,Warren,8.1
2019-06-01,105,Warren,12.5
2019-06-01,107,Warren,10.9
2019-06-01,109,Warren,9.5
2019-06-01,111,Warren,11.6
2019-06-01,113,Warren,9.0
2019-06-01,-1,Warren,9.8
2019-06-01,1,Yang,1.1
2019-06-01,3,Yang,1.4
2019-06-01,5,Yang,3.5
2019-06-01,7,Yang,1.0
2019-06-01,9,Yang,0.7
2019-06-01,11,Yang,1.1
2019-06-01,13,Yang,0.4
2019-06-01,15,Yang,1.8
2019-06-01,17,Yang,5.8
2019-06-01,19,Yang,1.1
2019-06-01,21,Yang,2.0
2019-06-01,23,Yang,1.2
2019-06-01,25,Yang,0.3
2019-06-01,27,Yang,0.2
2019-06-01,29,Yang,0.4
2019-06-01,31,Yang,0.3
2019-06-01,33,Yang,3.1
2019-06-01,35,Yang,0.9
2019-06-01,37,Yang,3.2
2019-06-01,39,Yang,0.6
2019-06-01,41,Yang,0.0
2019-06-01,43,Yang,1.0
2019-06-01,45,Yang,0.3
2019-06-01,47,Yang,0.5
2019-06-01,49,Yang,0.3
2019-06-01,51,Yang,6.4
2019-06-01,53,Yang,1.1
2019-06-01,55,Yang,1.7
2019-06-01,57,Yang,3.2
2019-06-01,59,Yang,0.8
2019-06-01,61,Yang,1.4
2019-06-01,63,Yang,0.5
2019-06-01,65,Yang,1.1
2019-06-01,67,Yang,0.5
2019-06-01,69,Yang,5.7
2019-06-01,71,Yang,0.3
2019-06-01,73,Yang,0.2
2019-06-01,75,Yang,0.6
2019-06-01,77,Yang,0.7
2019-06-01,79,Yang,1.2
2019-06-01,81,Yang,2.4
2019-06-01,83,Yang,2.4
2019-06-01,85,Yang,0.4
2019-06-01,87,Yang,3.2
2019-06-01,89,Yang,1.1
2019-06-01,91,Yang,0.2
2019-06-01,93,Yang,0.4
2019-06-01,95,Yang,0.4
2019-06-01,97,Yang,0.4
2019-06-01,99,Yang,0.4
2019-06-01,101,Yang,5.5
2019-06-01,103,Yang,2.4
2019-06-01,105,Yang,0.6
2019-06-01,107,Yang,5.0
2019-06-01,109,Yang,6.5
2019-06-01,111,Yang,0.3
2019-06-01,113,Yang,1.1
2019-06-01,-1,Yang,1.6
2019-06-01,2,Biden,49.1
2019-06-01,4,Biden,50.7
2019-06-01,6,Biden,43.4
2019-06-01,8,Biden,71.5
2019-06-01,10,Biden,66.7
2019-06-01,12,Biden,51.2
2019-06-01,14,Biden,61.4
2019-06-01,16,Biden,42.4
2019-06-01,18,Biden,44.6
2019-06-01,20,Biden,51.4
2019-06-01,22,Biden,39.9
2019-06-01,24,Biden,34.2
2019-06-01,26,Biden,55.4
2019-06-01,28,Biden,61.0
2019-06-01,30,Biden,63.9
2019-06-01,32,Biden,63.1
2019-06-01,34,Biden,48.9
2019-06-01,36,Biden,51.8
2019-06-01,38,Biden,32.1
2019-06-01,40,Biden,58.9
2019-06-01,42,Biden,54.2
2019-06-01,44,Biden,52.8
2019-06-01,46,Biden,62.5
2019-06-01,48,Biden,60.3
2019-06-01,50,Biden,53.9
2019-06-01,52,Biden,41.9
2019-06-01,54,Biden,49.7
2019-06-01,56,Biden,47.8
2019-06-01,58,Biden,51.3
2019-06-01,60,Biden,64.2
2019-06-01,62,Biden,52.0
2019-06-01,64,Biden,59.1
2019-06-01,66,Biden,48.0
2019-06-01,68,Biden,47.8
2019-06-01,70,Biden,39.9
2019-06-01,72,Biden,59.7
2019-06-01,74,Biden,47.9
2019-06-01,76,Biden,37.3
2019-06-01,78,Biden,36.1
2019-06-01,80,Biden,54.8
2019-06-01,82,Biden,38.0
2019-06-01,84,Biden,39.4
2019-06-01,86,Biden,53.2
2019-06-01,88,Biden,39.0
2019-06-01,90,Biden,46.6
2019-06-01,92,Biden,48.9
2019-06-01,94,Biden,48.7
2019-06-01,96,Biden,49.8
2019-06-01,98,Biden,57.0
2019-06-01,100,Biden,53.6
2019-06-01,102,Biden,39.3
2019-06-01,104,Biden,42.3
2019-06-01,106,Biden,43.0
2019-06-01,108,Biden,38.6
2019-06-01,110,Biden,39.2
2019-06-01,112,Biden,46.0
2019-06-01,114,Biden,43.5
2019-06-01,0,Biden,53.2
2019-06-01,2,Bloomberg,2.6
2019-06-01,4,Bloomberg,3.2
2019-06-01,6,Bloomberg,3.6
2019-06-01,8,Bloomberg,2.5
2019-06-01,10,Bloomberg,2.5
2019-06-01,12,Bloomberg,3.4
2019-06-01,14,Bloomberg,3.7
2019-06-01,16,Bloomberg,3.3
2019-06-01,18,Bloomberg,3.1
2019-06-01,20,Bloomberg,3.2
2019-06-01,22,Bloomberg,4.1
2019-06-01,24,Bloomberg,3.2
2019-06-01,26,Bloomberg,1.8
2019-06-01,28,Bloomberg,3.2
2019-06-01,30,Bloomberg,3.4
2019-06-01,32,Bloomberg,3.0
2019-06-01,34,Bloomberg,3.7
2019-06-01,36,Bloomberg,4.0
2019-06-01,38,Bloomberg,1.2
2019-06-01,40,Bloomberg,3.0
2019-06-01,42,Bloomberg,3.8
2019-06-01,44,Bloomberg,2.9
2019-06-01,46,Bloomberg,3.1
2019-06-01,48,Bloomberg,3.2
2019-06-01,50,Bloomberg,4.0
2019-06-01,52,Bloomberg,3.0
2019-06-01,54,Bloomberg,3.6
2019-06-01,56,Bloomberg,3.3
2019-06-01,58,Bloomberg,3.8
2019-06-01,60,Bloomberg,2.8
2019-06-01,62,Bloomberg,2.6
2019-06-01,64,Bloomberg,3.3
2019-06-01,66,Bloomberg,3.8
2019-06-01,68,Bloomberg,5.2
2019-06-01,70,Bloomberg,3.3
2019-06-01,72,Bloomberg,3.6
2019-06-01,74,Bloomberg,4.7
2019-06-01,76,Bloomberg,3.6
2019-06-01,78,Bloomberg,4.0
2019-06-01,80,Bloomberg,3.0
2019-06-01,82,Bloomberg,3.8
2019-06-01,84,Bloomberg,8.5
2019-06-01,86,Bloomberg,3.3
2019-06-01,88,Bloomberg,3.9
2019-06-01,90,Bloomberg,3.9
2019-06-01,92,Bloomberg,4.3
2019-06-01,94,Bloomberg,2.8
2019-06-01,96,Bloomberg,4.7
2019-06-01,98,Bloomberg,3.6
2019-06-01,100,Bloomberg,4.3
2019-06-01,102,Bloomberg,4.1
2019-06-01,104,Bloomberg,4.0
2019-06-01,106,Bloomberg,5.8
2019-06-01,108,Bloomberg,3.2
2019-06-01,110,Bloomberg,3.9
2019-06-01,112,Bloomberg,5.5
2019-06-01,114,Bloomberg,4.5
2019-06-01,0,Bloomberg,2.7
2019-06-01,2,Booker,3.4
2019-06-01,4,Booker,3.8
2019-06-01,6,Booker,4.0
2019-06-01,8,Booker,3.0
2019-06-01,10,Booker,4.1
2019-06-01,12,Booker,4.1
2019-06-01,14,Booker,4.1
2019-06-01,16,Booker,3.9
2019-06-01,18,Booker,3.3
2019-06-01,20,Booker,4.0
2019-06-01,22,Booker,4.5
2019-06-01,24,Booker,4.0
2019-06-01,26,Booker,2.0
2019-06-01,28,Booker,3.5
2019-06-01,30,Booker,3.9
2019-06-01,32,Booker,3.8
2019-06-01,34,Booker,3.9
2019-06-01,36,Booker,3.3
2019-06-01,38,Booker,1.6
2019-06-01,40,Booker,3.7
2019-06-01,42,Booker,3.3
2019-06-01,44,Booker,3.3
2019-06-01,46,Booker,4.5
2019-06-01,48,Booker,4.2
2019-06-01,50,Booker,3.4
2019-06-01,52,Booker,3.5
2019-06-01,54,Booker,4.5
2019-06-01,56,Booker,3.5
2019-06-01,58,Booker,3.6
2019-06-01,60,Booker,2.9
2019-06-01,62,Booker,2.7
2019-06-01,64,Booker,4.4
2019-06-01,66,Booker,4.7
2019-06-01,68,Booker,4.1
2019-06-01,70,Booker,3.5
2019-06-01,72,Booker,4.7
2019-06-01,74,Booker,3.5
2019-06-01,76,Booker,4.0
2019-06-01,78,Booker,5.6
2019-06-01,80,Booker,3.9
2019-06-01,82,Booker,6.1
2019-06-01,84,Booker,3.5
2019-06-01,86,Booker,4.5
2019-06-01,88,Booker,7.1
2019-06-01,90,Booker,4.7
2019-06-01,92,Booker,3.7
2019-06-01,94,Booker,2.7
2019-06-01,96,Booker,4.4
2019-06-01,98,Booker,4.3
2019-06-01,100,Booker,5.0
2019-06-01,102,Booker,4.3
2019-06-01,104,Booker,8.2
2019-06-01,106,Booker,4.3
2019-06-01,108,Booker,10.9
2019-06-01,110,Booker,4.8
2019-06-01,112,Booker,4.3
2019-06-01,114,Booker,5.4
2019-06-01,0,Booker,3.0
2019-06-01,2,Buttigieg,9.5
2019-06-01,4,Buttigieg,8.9
2019-06-01,6,Buttigieg,7.5
2019-06-01,8,Buttigieg,3.4
2019-06-01,10,Buttigieg,4.3
2019-06-01,12,Buttigieg,5.5
2019-06-01,14,Buttigieg,5.2
2019-06-01,16,Buttigieg,8.6
2019-06-01,18,Buttigieg,6.1
2019-06-01,20,Buttigieg,5.9
2019-06-01,22,Buttigieg,8.8
2019-06-01,24,Buttigieg,10.7
2019-06-01,26,Buttigieg,6.2
2019-06-01,28,Buttigieg,4.8
2019-06-01,30,Buttigieg,3.6
2019-06-01,32,Buttigieg,4.7
2019-06-01,34,Buttigieg,9.6
2019-06-01,36,Buttigieg,6.8
2019-06-01,38,Buttigieg,4.5
2019-06-01,40,Buttigieg,6.2
2019-06-01,42,Buttigieg,7.0
2019-06-01,44,Buttigieg,5.8
2019-06-01,46,Buttigieg,4.6
2019-06-01,48,Buttigieg,5.0
2019-06-01,50,Buttigieg,7.2
2019-06-01,52,Buttigieg,5.9
2019-06-01,54,Buttigieg,6.2
2019-06-01,56,Buttigieg,6.7
2019-06-01,58,Buttigieg,5.3
2019-06-01,60,Buttigieg,4.7
2019-06-01,62,Buttigieg,7.0
2019-06-01,64,Buttigieg,4.7
2019-06-01,66,Buttigieg,6.3
2019-06-01,68,Buttigieg,7.8
2019-06-01,70,Buttigieg,7.7
2019-06-01,72,Buttigieg,5.2
2019-06-01,74,Buttigieg,7.4
2019-06-01,76,Buttigieg,6.7
2019-06-01,78,Buttigieg,9.7
2019-06-01,80,Buttigieg,7.4
2019-06-01,82,Buttigieg,9.5
2019-06-01,84,Buttigieg,8.4
2019-06-01,86,Buttigieg,6.8
2019-06-01,88,Buttigieg,7.1
2019-06-01,90,Buttigieg,6.8
2019-06-01,92,Buttigieg,7.7
2019-06-01,94,Buttigieg,15.1
2019-06-01,96,Buttigieg,6.7
2019-06-01,98,Buttigieg,5.6
2019-06-01,100,Buttigieg,6.6
2019-06-01,102,Buttigieg,7.3
2019-06-01,104,Buttigieg,8.1
2019-06-01,106,Buttigieg,8.5
2019-06-01,108,Buttigieg,7.2
2019-06-01,110,Buttigieg,7.0
2019-06-01,112,Buttigieg,7.7
2019-06-01,114,Buttigieg,7.1
2019-06-01,0,Buttigieg,6.8
2019-06-01,2,Klobuchar,4.3
2019-06-01,4,Klobuchar,3.9
2019-06-01,6,Klobuchar,3.9
2019-06-01,8,Klobuchar,2.4
2019-06-01,10,Klobuchar,3.4
2019-06-01,12,Klobuchar,3.9
2019-06-01,14,Klobuchar,4.1
